Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][0/62676]	Time: 0.943 (0.943)	Epoch time [hr]: 0.000 (16.426)	Memory: 17.686 (17.805)	Loss: 10.9792 (10.9792)	Prec@1: 0.006 (0.006)	Prec@5: 0.012 (0.012)
Epoch: [0][10/62676]	Time: 1.059 (1.064)	Epoch time [hr]: 0.003 (18.519)	Memory: 19.662 (28.519)	Loss: 74.1647 (51.6049)	Prec@1: 5.786 (5.406)	Prec@5: 13.263 (13.548)
Epoch: [0][20/62676]	Time: 1.068 (1.067)	Epoch time [hr]: 0.006 (18.583)	Memory: 19.662 (28.519)	Loss: 21.2294 (43.8657)	Prec@1: 0.104 (4.295)	Prec@5: 3.284 (11.769)
Epoch: [0][30/62676]	Time: 1.073 (1.070)	Epoch time [hr]: 0.009 (18.620)	Memory: 19.662 (28.519)	Loss: 18.1072 (33.9617)	Prec@1: 1.581 (5.004)	Prec@5: 10.815 (12.637)
Epoch: [0][40/62676]	Time: 1.076 (1.071)	Epoch time [hr]: 0.012 (18.653)	Memory: 19.662 (28.519)	Loss: 9.1539 (28.4004)	Prec@1: 8.881 (4.727)	Prec@5: 26.691 (13.576)
Epoch: [0][50/62676]	Time: 1.080 (1.073)	Epoch time [hr]: 0.015 (18.680)	Memory: 19.662 (28.519)	Loss: 7.5439 (24.1722)	Prec@1: 4.401 (5.414)	Prec@5: 17.450 (15.748)
Epoch: [0][60/62676]	Time: 1.076 (1.074)	Epoch time [hr]: 0.018 (18.696)	Memory: 19.662 (28.519)	Loss: 4.1220 (21.0104)	Prec@1: 5.029 (5.539)	Prec@5: 22.406 (17.392)
Epoch: [0][70/62676]	Time: 1.082 (1.075)	Epoch time [hr]: 0.021 (18.714)	Memory: 19.662 (28.519)	Loss: 4.0012 (18.6262)	Prec@1: 1.715 (6.058)	Prec@5: 21.710 (19.598)
Epoch: [0][80/62676]	Time: 1.079 (1.076)	Epoch time [hr]: 0.024 (18.732)	Memory: 19.662 (28.519)	Loss: 3.5066 (16.7845)	Prec@1: 16.095 (6.662)	Prec@5: 38.800 (21.522)
Epoch: [0][90/62676]	Time: 1.076 (1.077)	Epoch time [hr]: 0.027 (18.744)	Memory: 19.662 (28.519)	Loss: 3.4528 (15.3118)	Prec@1: 16.376 (7.666)	Prec@5: 42.517 (23.727)
Epoch: 0 Step 100 	Learning rate: 0.100000
Epoch: [0][100/62676]	Time: 1.087 (1.077)	Epoch time [hr]: 0.030 (18.755)	Memory: 19.662 (28.519)	Loss: 3.3140 (14.1259)	Prec@1: 15.881 (8.440)	Prec@5: 42.474 (25.460)
Epoch: [0][110/62676]	Time: 1.082 (1.078)	Epoch time [hr]: 0.033 (18.763)	Memory: 19.662 (28.519)	Loss: 3.1143 (13.1416)	Prec@1: 18.323 (9.168)	Prec@5: 49.017 (27.259)
Epoch: [0][120/62676]	Time: 1.081 (1.078)	Epoch time [hr]: 0.036 (18.772)	Memory: 19.662 (28.519)	Loss: 3.1392 (12.3145)	Prec@1: 17.737 (9.906)	Prec@5: 48.651 (28.936)
Epoch: [0][130/62676]	Time: 1.080 (1.079)	Epoch time [hr]: 0.039 (18.780)	Memory: 19.662 (28.519)	Loss: 3.1489 (11.6194)	Prec@1: 17.773 (10.465)	Prec@5: 48.578 (30.282)
Epoch: [0][140/62676]	Time: 1.021 (1.077)	Epoch time [hr]: 0.042 (18.759)	Memory: 19.662 (28.519)	Loss: 3.0795 (11.0145)	Prec@1: 19.379 (11.044)	Prec@5: 51.270 (31.697)
Epoch: [0][150/62676]	Time: 1.022 (1.074)	Epoch time [hr]: 0.045 (18.699)	Memory: 19.662 (28.519)	Loss: 3.0447 (10.4866)	Prec@1: 19.458 (11.586)	Prec@5: 51.001 (33.021)
Epoch: [0][160/62676]	Time: 1.083 (1.074)	Epoch time [hr]: 0.048 (18.690)	Memory: 19.662 (28.519)	Loss: 3.0362 (10.0247)	Prec@1: 18.231 (12.058)	Prec@5: 52.734 (34.175)
Epoch: [0][170/62676]	Time: 1.081 (1.074)	Epoch time [hr]: 0.051 (18.702)	Memory: 19.662 (28.519)	Loss: 2.9790 (9.6125)	Prec@1: 20.801 (12.563)	Prec@5: 54.773 (35.366)
